YEAR,MONTH,MEAN,MIN,MAX,yearly,MIN,MAX,UHII MONTHLY,UHII YEARLY,YEAR,11,MEAN,MIN,MAX,yearly,MIN,MAX
,December,23.9,22.55,28.05,,,,0.38,,,December,23.52,21.51,25.48,,,
2007,January,22.63,20.36,28.53,31.40583333,27.99,33.87,1.19,0.78,2007,January,21.44,19.07,25.34,30.62166667,26.59,33.84
,February,25.41,22.08,27.66,,,,1.44,,,February,23.97,21.75,26.45,,,
,March,33.28,30.98,34.69,,,,1.64,,,March,31.64,29.69,34.21,,,
,April,37.47,35.87,39.14,,,,0.03,,,April,37.44,34.15,40.3,,,
,May,37.9,36.81,39.56,,,,0.29,,,May,37.61,33.86,41.38,,,
,June,36.85,34.62,38.98,,,,-0.05,,,June,36.9,32.69,41.53,,,
,July,34.9,30.99,37.29,,,,1.62,,,July,33.28,30.51,37.07,,,
,August,30.96,15.37,34.67,,,,1.43,,,August,29.53,11.47,33.03,,,
,September,33.84,31.2,35.93,,,,1.72,,,September,32.12,29.53,34.56,,,
,October,32.09,30.18,33.26,,,,0.33,,,October,31.76,29.44,34.52,,,
,November,28.59,26.79,29.95,,,,-0.13,,,November,28.72,26.17,30.5,,,
,December,22.95,20.65,26.84,,,,-0.1,,,December,23.05,20.7,27.17,,,
2008,January,20.6,18.04,23.9,31.37916667,28.62,34.19,-0.26,0.66,2008,January,20.86,17.49,24.12,30.72083333,27.2,34.03
,February,26.65,23.88,29.22,,,,1.11,,,February,25.54,22.51,29.7,,,
,March,34.2,31.03,36.37,,,,1.51,,,March,32.69,29.55,36.64,,,
,April,39.69,37.78,41.38,,,,0.28,,,April,39.41,36.1,43.49,,,
,May,38.52,36.54,40.69,,,,0.23,,,May,38.29,33.08,40.03,,,
,June,37.02,29.93,46.59,,,,0.06,,,June,36.96,27.25,46.47,,,
,July,32.47,31.55,34.03,,,,0.87,,,July,31.6,30.09,32.83,,,
,August,32.44,28.65,35.77,,,,1.34,,,August,31.1,27.59,33.95,,,
,September,32.25,29.5,34.81,,,,1.51,,,September,30.74,27.63,33.56,,,
,October,31.56,29.4,32.63,,,,0.51,,,October,31.05,29,33.09,,,
,November,27.24,25.21,28.65,,,,0.14,,,November,27.1,25.02,28.9,,,
,December,23.91,21.97,26.27,,,,0.6,,,December,23.31,21.05,25.57,,,
2009,January,23.26,21.21,26.81,32.1125,29.72,34.26,1.23,0.87,2009,January,22.03,19.91,27.33,31.2475,28.22,34.39
,February,27.92,25.58,29.5,,,,1.42,,,February,26.5,23.94,29.48,,,
,March,34.38,31.22,36.22,,,,1.38,,,March,33,30.15,35.83,,,
,April,40.21,38.5,42.12,,,,0.04,,,April,40.17,36.53,42.3,,,
,May,36.63,34.72,38.87,,,,-0.01,,,May,36.64,34.35,40.88,,,
,June,39.02,36.77,42,,,,0.14,,,June,38.88,34.96,42.38,,,
,July,36.07,33.62,38.21,,,,1.43,,,July,34.64,26.99,38.19,,,
,August,33.07,29.12,36.06,,,,1.97,,,August,31.1,28.13,35.11,,,
,September,32.67,29.77,34.66,,,,1.44,,,September,31.23,29.14,33.97,,,
,October,31.36,29.3,32.74,,,,0.91,,,October,30.45,28.53,32.21,,,
,November,27.29,25.16,28.24,,,,0.08,,,November,27.21,24.85,28.93,,,
,December,23.47,21.68,25.71,,,,0.35,,,December,23.12,21.14,26.09,,,
2010,January,22.65,19.52,25.71,32.23166667,29.29,34.78,0.94,0.7,2010,January,21.71,18.35,26.15,31.535,27.43,35.04
,February,27.06,24.67,28.35,,,,1.6,,,February,25.46,23.6,28.18,,,
,March,35.64,33.27,36.88,,,,1.36,,,March,34.28,31.92,37.04,,,
,April,40.64,38.55,42.58,,,,-0.12,,,April,40.76,36.3,42.96,,,
,May,37.96,35.77,39.85,,,,-0.21,,,May,38.17,32.89,39.67,,,
,June,37.79,35.58,43.13,,,,-1.17,,,June,38.96,34.35,44.45,,,
,July,38.77,29.63,45.33,,,,1.42,,,July,37.35,28.45,45.33,,,
,August,31.78,27.75,34.43,,,,2.4,,,August,29.38,20.69,33.45,,,
,September,32.44,29.23,34.61,,,,1.26,,,September,31.18,27.95,34.41,,,
,October,31.35,29.64,32.64,,,,0.67,,,October,30.68,28.7,32.72,,,
,November,27.51,26.17,28.77,,,,0.11,,,November,27.4,25.14,29,,,
,December,23.19,21.75,25.13,,,,0.1,,,December,23.09,20.83,27.15,,,
2011,January,22.03,19.43,24.78,31.92833333,29.29,34.33,0.73,0.79,2011,January,21.3,17.59,25.16,31.135,28.04,34.8
,February,26.98,24.19,28.81,,,,1.18,,,February,25.8,23.05,29.3,,,
,March,34.3,30.83,35.78,,,,1.58,,,March,32.72,29.94,35.81,,,
,April,38.73,36.72,40.43,,,,0.49,,,April,38.24,35.12,40.37,,,
,May,36.45,34.56,38.44,,,,0.2,,,May,36.25,36.36,44,,,
,June,37.59,34.7,41.56,,,,-0.45,,,June,38.04,33.22,43.63,,,
