YEAR,MONTH,URBAN,NON URBAN,UHII,% GROWTH URBAN,% GROWTH NONURBAN,AOI
,June,39.2,40.11,,,,39.655
,July,34.96,33.43,,,,34.195
,August,33.95,32.52,,,,33.235
,September,35.46,33.92,,,,34.69
,October,34.17,33.38,,,,33.775
,November,29.95,29.79,,,,29.87
,December,21.68,21.6,,,,21.64
2016,January,22.57,22.18,,,,22.375
,February,27.95,26.59,,,,27.27
,March,34.6,33.04,,,,33.82
,April,39.42,39.4,,,,39.41
,May,37.75,37.94,,,,37.845
,June,36.71,36.24,,,,36.475
,July,32.92,31.25,,,,32.085
,August,33.93,32.5,,,,33.215
,September,31.76,30.45,,,,31.105
,October,31.79,31.15,,,,31.47
,November,27.41,27.4,,,,27.405
,December,22.16,22.22,,,,22.19
2017,January,21.88,21.22,,,,21.55
,February,27.36,25.9,,,,26.63
,March,33.64,32.13,,,,32.885
,April,38.17,38,,,,38.085
,May,38.48,38.66,,,,38.57
,June,37.99,38.91,,,,38.45
,July,36.24,35.23,,,,35.735
,August,31.62,30.04,,,,30.83
,September,33.11,31.49,,,,32.3
,October,32.25,31.55,,,,31.9
,November,27.88,27.7,,,,27.79
,December,23.43,23.35,,,,23.39
2018,January,21.9,20.98,,,,21.44
,February,27.78,26.23,,,,27.005
,March,35.04,33.44,,,,34.24
,April,37.47,36.89,,,,37.18
,May,37.17,37.26,,,,37.215
,June,37.14,37.83,,,,37.485
,July,36.85,36.45,,,,36.65
,August,32.28,30.64,,,,31.46
,September,33.15,31.42,,,,32.285
,October,32.37,31.66,,,,32.015
,November,28.03,27.98,,,,28.005
,December,22.74,22.59,,,,22.665
