2001,0,94.68,13.72
2002,0,140.33,27.24
2003,0,250.49,59
2004,0,281.02,61.19
2005,4.36,293.14,73.66
2006,11,244,73.58
2007,100,519.09,318.41
2008,146.6,594.55,325.26
2009,16.9,518.86,139.4
2010,0,203.34,33.52
2011,0,105.56,16.52
2012,0,66.52,9.91
